sex,year,age,mu,sigma,nu,tau
women,3,34,23.6973351527408,0.164991810268481,-1.66484379980997,2.31385313733534
women,4,34,23.6459726998583,0.165072101139325,-1.66967361841739,2.29989174769495
women,5,34,23.5947215717956,0.165152431082557,-1.67450343702481,2.28601459866496
women,6,34,23.5435815272634,0.16523280011719,-1.67933325563223,2.27222118195212
women,7,34,23.4925523254951,0.165313208262248,-1.68416307423964,2.25851099233008
women,8,34,23.4416337262462,0.165393655536763,-1.68899289284706,2.244883527621
women,9,34,23.3908254897929,0.165474141959777,-1.69382271145448,2.23133828867704
women,10,34,23.3401273769309,0.165554667550342,-1.69865253006189,2.21787477936217
women,11,34,23.2895391489744,0.165635232327516,-1.70348234866931,2.20449250653394
women,12,34,23.2390605677548,0.165715836310371,-1.70831216727673,2.19119098002543
women,13,34,23.18869139562,0.165796479517985,-1.71314198588414,2.17796971262732
women,14,34,23.1384313954327,0.165877161969446,-1.71797180449156,2.16482822007003
women,15,34,23.0882803305698,0.165957883683851,-1.72280162309898,2.15176602100593
women,16,34,23.0382379649209,0.166038644680307,-1.7276314417064,2.13878263699185
women,17,34,22.9883040628876,0.166119444977931,-1.73246126031381,2.12587759247137
women,18,34,22.9384783893817,0.166200284595847,-1.73729107892123,2.11305041475754
women,19,34,22.888760709825,0.166281163553191,-1.74212089752865,2.10030063401555
women,20,34,22.8391507901476,0.166362081869106,-1.74695071613606,2.0876277832454
women,21,34,22.7896483967867,0.166443039562745,-1.75178053474348,2.07503139826499
women,22,34,22.740253296686,0.166524036653272,-1.7566103533509,2.06251101769296
women,23,34,22.6909652572943,0.166605073159858,-1.76144017195831,2.05006618293183
women,24,34,22.6417840465643,0.166686149101683,-1.76626999056573,2.03769643815129
women,25,34,22.5927094329517,0.16676726449794,-1.77109980917314,2.02540133027135
women,26,34,22.5437411854142,0.166848419367827,-1.77592962778056,2.01318040894586
women,27,34,22.4948790734102,0.166929613730555,-1.78075944638798,2.00103322654601
women,28,34,22.4461228668975,0.167010847605341,-1.78558926499539,1.98895933814384
women,29,34,22.397472336333,0.167092121011415,-1.79041908360282,1.97695830149606
women,30,34,22.3489272526708,0.167173433968011,-1.79524890221023,1.96502967702779
women,31,34,22.3004873873614,0.167254786494379,-1.80007872081764,1.95317302781645
women,32,34,22.2521525123509,0.167336178609773,-1.80490853942506,1.94138791957581
women,33,34,22.2039224000794,0.16741761033346,-1.80973835803248,1.92967392064
women,34,34,22.1557968234806,0.167499081684714,-1.8145681766399,1.91803060194779
women,35,34,22.10777555598,0.167580592682818,-1.81939799524731,1.90645753702681
women,36,34,22.0598583714944,0.167662143347067,-1.82422781385473,1.89495430197795
women,37,34,22.0120450444305,0.167743733696765,-1.82905763246215,1.88352047545984
women,38,34,21.9643353496841,0.167825363751221,-1.83388745106956,1.87215563867343
women,39,34,21.9167290626386,0.16790703352976,-1.83871726967697,1.86085937534657
women,40,34,21.8692259591646,0.167988743051712,-1.8435470882844,1.84963127171891
women,41,34,21.8218258156183,0.168070492336417,-1.84837690689181,1.83847091652658
women,42,34,21.7745284088407,0.168152281403225,-1.85320672549922,1.82737790098727
women,43,34,21.7273335161563,0.168234110271497,-1.85803654410664,1.81635181878513
women,44,34,21.6802409153726,0.1683159789606,-1.86286636271405,1.80539226605599
women,45,34,21.6332503847784,0.168397887489913,-1.86769618132147,1.79449884137252
women,46,34,21.586361703143,0.168479835878823,-1.87252599992888,1.78367114572954
women,47,34,21.5395746497154,0.168561824146728,-1.87735581853631,1.77290878252936
women,48,34,21.492889004223,0.168643852313034,-1.88218563714372,1.76221135756735
women,49,34,21.4463045468706,0.168725920397157,-1.88701545575114,1.75157847901739
women,50,34,21.3998210583394,0.168808028418523,-1.89184527435856,1.74100975741759
men,-1,34,25.7861846680812,0.132109083202117,-0.941507857062293,1.60024628899742
men,0,34,25.7914976990566,0.132025873230796,-0.957655528615,1.587052754251
men,1,34,25.7968118247384,0.131942715669946,-0.973803200167707,1.57396799610998
men,2,34,25.802127045352,0.131859610486557,-0.989950871720421,1.56099111774495
men,3,34,25.807443361123,0.131776557647638,-1.00609854327313,1.54812122972057
men,4,34,25.8127607722771,0.131693557120219,-1.02224621482585,1.53535744993467
men,5,34,25.81807927904,0.131610608871351,-1.03839388637856,1.52269890355768
men,6,34,25.8233988816374,0.131527712868107,-1.05454155793127,1.51014472297277
men,7,34,25.8287195802951,0.131444869077579,-1.07068922948398,1.49769404771631
men,8,34,25.8340413752389,0.13136207746688,-1.08683690103669,1.48534602441896
men,9,34,25.8393642666947,0.131279338003145,-1.10298457258941,1.47309980674712
men,10,34,25.8446882548885,0.131196650653528,-1.11913224414212,1.46095455534496
men,11,34,25.8500133400462,0.131114015385205,-1.13527991569483,1.44890943777686
men,12,34,25.8553395223939,0.131031432165373,-1.15142758724755,1.43696362847042
men,13,34,25.8606668021575,0.130948900961247,-1.16757525880026,1.42511630865976
men,14,34,25.8659951795633,0.130866421740066,-1.18372293035297,1.41336666632955
men,15,34,25.8713246548374,0.130783994469087,-1.19987060190568,1.4017138961592
men,16,34,25.8766552282059,0.130701619115589,-1.21601827345839,1.39015719946778
